Nom de l'entreprise,Pays,Ville,Spécialité Fruits Rouges,Certification Premium,Contact,Email
FreshBerry International,Belgique,Bruxelles,"Fraises, Framboises, Myrtilles",Bio Premium,+32 2 123 4567,contact@freshberry.be
Premium Fruits HORECA,France,Paris,"Framboises, Cassis, Groseilles",Label Rouge,+33 1 45 67 89 01,info@premiumfruits.fr
Les Délices Rouges,Suisse,Genève,"Fraises Premium, Framboises sauvages",Swiss Premium,+41 22 345 6789,delices@rouges.ch
RedBerry Supply Co,Pays-Bas,Amsterdam,"Myrtilles, Cranberries, Framboises",EU Organic Premium,+31 20 567 8901,sales@redberrysupply.nl
Gourmet Berries SARL,Luxembourg,Luxembourg,"Fraises Gariguette, Framboises Heritage",Premium Selection,+352 26 12 34 56,gourmet@berries.lu
Baies d'Exception,France,Lyon,"Cassis de Bourgogne, Framboises Mara des Bois",AOC Premium,+33 4 78 90 12 34,contact@baies-exception.fr
Alpine Red Fruits,Suisse,Zurich,"Fraises des Alpes, Myrtilles sauvages, Airelles",Premium Alpine,+41 44 234 5678,info@alpineredfruits.ch
Belgian Berry Masters,Belgique,Anvers,"Framboises, Mûres Premium, Groseilles",Certified Premium,+32 3 234 5678,masters@belgianberry.be
Royal Berries Import,France,Bordeaux,"Fraises Ciflorette, Framboises Premium",Label Excellence,+33 5 56 78 90 12,royal@berries-import.fr
Premium Nordic Berries,Norvège,Oslo,"Myrtilles nordiques, Airelles, Framboises arctiques",Nordic Premium,+47 22 12 34 56,contact@nordicberries.no
Dutch Premium Fruits,Pays-Bas,Rotterdam,"Framboises, Fraises Premium, Cassis",Holland Select,+31 10 456 7890,info@dutchpremium.nl
Swiss Berry Excellence,Suisse,Lausanne,"Fraises Premium, Framboises Bio",Swiss Excellence,+41 21 345 6789,excellence@swissberry.ch
La Maison des Baies,France,Rungis,"Framboises, Myrtilles, Groseilles, Cassis",Premium Rungis,+33 1 49 12 34 56,maison@baies-rungis.fr
EuroBerry Premium,Belgique,Liège,"Fraises, Framboises, Mûres Premium",EU Premium Cert,+32 4 345 6789,contact@euroberry.be
Scandinavian Red Fruits,Suède,Stockholm,"Airelles, Myrtilles sauvages, Framboises",Premium Scandinavia,+46 8 123 4567,info@scandinavianred.se
